model,avg_latency_ms,avg_delta_power_w,throughput_items_per_s,area_used_mm2
exported/alexnet.pt,628.642,2.31058,800,201.151
exported/densenet121.pt,8179.37,10.6052,66.6667,84.3497
exported/efficientnet_b0.pt,3509.92,0.919778,150,73.8859
exported/mobilenet_v2.pt,2217.18,1.25579,233.333,82.7239
exported/mobilenet_v3_small.pt,2303.03,0.644,233.333,65.6119
exported/regnet_y_400mf.pt,3932.03,1.14975,133.333,78.5149
exported/resnet18.pt,954.148,3.14272,533.333,192.986
exported/shufflenet_v2_x1_0.pt,3801.96,0,133.333,76.3414
exported/squeezenet1_0.pt,951.314,1.93488,533.333,109.729
exported/vgg11.pt,2042.77,7.74567,250,214.691
